regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,PE,,2021-01-22,9557071.0,248513.0,1714,10152,19
Nordeste,AL,,2021-01-22,3337357.0,113205.0,351,2665,9
Nordeste,CE,,2021-01-22,9132078.0,360149.0,1745,10311,50
Nordeste,PB,,2021-01-22,4018127.0,181773.0,1309,3955,16
Nordeste,MA,,2021-01-22,7075181.0,205065.0,298,4639,8
Nordeste,MA,,2021-01-23,7075181.0,205396.0,331,4644,5
Nordeste,BA,,2021-01-23,14873064.0,562466.0,4566,9827,33
Nordeste,PE,,2021-01-23,9557071.0,250165.0,1652,10177,25
Nordeste,AL,,2021-01-23,3337357.0,113662.0,457,2674,9
Nordeste,CE,,2021-01-23,9132078.0,360973.0,824,10320,9
Nordeste,RN,,2021-01-23,3506853.0,134881.0,871,3230,7
Nordeste,PB,,2021-01-23,4018127.0,182907.0,1134,3968,13
Nordeste,SE,,2021-01-23,2298696.0,132337.0,502,2719,9
Nordeste,PI,,2021-01-23,3273227.0,155105.0,708,2999,10
Nordeste,CE,,2021-01-24,9132078.0,362351.0,1378,10331,11
Nordeste,AL,,2021-01-24,3337357.0,114169.0,507,2683,9
Nordeste,PI,,2021-01-24,3273227.0,155362.0,257,3004,5
Nordeste,RN,,2021-01-24,3506853.0,135774.0,893,3235,5
Nordeste,MA,,2021-01-24,7075181.0,205481.0,85,4649,5
Nordeste,PE,,2021-01-24,9557071.0,250702.0,537,10193,16
Nordeste,SE,,2021-01-24,2298696.0,132829.0,492,2727,8
Nordeste,PB,,2021-01-24,4018127.0,183726.0,819,3980,12
Nordeste,BA,,2021-01-24,14873064.0,565320.0,2854,9857,30
Nordeste,SE,,2021-01-25,2298696.0,133655.0,826,2736,9
Nordeste,PE,,2021-01-25,9557071.0,251291.0,589,10200,7
Nordeste,AL,,2021-01-25,3337357.0,114836.0,667,2692,9
Nordeste,CE,,2021-01-25,9132078.0,363967.0,1616,10332,1
Nordeste,BA,,2021-01-25,14873064.0,566743.0,1423,9886,29
Nordeste,MA,,2021-01-25,7075181.0,205621.0,140,4653,4
Nordeste,RN,,2021-01-25,3506853.0,136131.0,357,3240,5
Nordeste,PI,,2021-01-25,3273227.0,155723.0,361,3012,8
Nordeste,PB,,2021-01-25,4018127.0,184907.0,1181,3991,11
Nordeste,PB,,2021-01-26,4018127.0,186033.0,1126,4003,12
Nordeste,MA,,2021-01-26,7075181.0,205920.0,299,4657,4
Nordeste,PI,,2021-01-26,3273227.0,156149.0,426,3020,8
Nordeste,BA,,2021-01-26,14873064.0,570092.0,3349,9920,34
Nordeste,AL,,2021-01-26,3337357.0,115383.0,547,2701,9
Nordeste,SE,,2021-01-26,2298696.0,134003.0,348,2746,10
Nordeste,RN,,2021-01-26,3506853.0,136741.0,610,3256,16
Nordeste,CE,,2021-01-26,9132078.0,365640.0,1673,10363,31
Nordeste,PE,,2021-01-26,9557071.0,253415.0,2124,10222,22
Nordeste,PB,,2021-01-27,4018127.0,187246.0,1213,4014,11
Nordeste,PI,,2021-01-27,3273227.0,156875.0,726,3031,11
Nordeste,CE,,2021-01-27,9132078.0,367265.0,1625,10402,39
Nordeste,MA,,2021-01-27,7075181.0,206290.0,370,4662,5
Nordeste,AL,,2021-01-27,3337357.0,115946.0,563,2710,9
Nordeste,SE,,2021-01-27,2298696.0,134556.0,553,2755,9
Nordeste,BA,,2021-01-27,14873064.0,574062.0,3970,9952,32
Nordeste,PE,,2021-01-27,9557071.0,255483.0,2068,10251,29
Nordeste,RN,,2021-01-27,3506853.0,137557.0,816,3259,3
Nordeste,MA,,2021-01-28,7075181.0,206680.0,390,4669,7
